持仓范围,总交易数,盈利次数,亏损次数,胜率%,总盈亏USDT,平均盈亏USDT,盈利总和USDT,亏损总和USDT,平均持仓K线数
1-10根K线,830,830,0,100.00,373.8145,0.4504,373.8145,0.0000,4.7
11-20根K线,246,246,0,100.00,109.5231,0.4452,109.5231,0.0000,14.8
21-30根K线,133,133,0,100.00,61.8180,0.4648,61.8180,0.0000,24.7
31-40根K线,93,93,0,100.00,45.4053,0.4882,45.4053,0.0000,35.0
41-50根K线,64,64,0,100.00,30.0034,0.4688,30.0034,0.0000,45.4
51-60根K线,469,35,434,7.46,-155.9893,-0.3326,17.6107,-173.6000,52.4
61-70根K线,24,17,7,70.83,11.9633,0.4985,14.7633,-2.8000,64.8
71-80根K线,10,8,2,80.00,2.4758,0.2476,3.2758,-0.8000,75.0
81-90根K线,9,5,4,55.56,1.7215,0.1913,3.3215,-1.6000,84.3
91-100根K线,5,2,3,40.00,-0.4000,-0.0800,0.8000,-1.2000,94.4
