区间,区间最小值,区间最大值,总交易数,盈利数,亏损数,胜率%
0.00-0.10,0.00,0.10,151,103,48,68.21
0.10-0.20,0.10,0.20,132,96,36,72.73
0.20-0.30,0.20,0.30,143,98,45,68.53
0.30-0.40,0.30,0.40,93,67,26,72.04
0.40-0.50,0.40,0.50,68,46,22,67.65
0.50-0.60,0.50,0.60,74,57,17,77.03
0.60-0.70,0.60,0.70,48,35,13,72.92
0.70-0.80,0.70,0.80,59,39,20,66.10
0.80-0.90,0.80,0.90,38,27,11,71.05
0.90-1.00,0.90,1.00,43,26,17,60.47
1.00-1.10,1.00,1.10,36,22,14,61.11
1.10-1.20,1.10,1.20,26,24,2,92.31
1.20-1.30,1.20,1.30,17,11,6,64.71
1.30-1.40,1.30,1.40,15,13,2,86.67
1.40-1.50,1.40,1.50,20,15,5,75.00
1.50-1.60,1.50,1.60,6,5,1,83.33
1.60-1.70,1.60,1.70,7,2,5,28.57
1.70-1.80,1.70,1.80,9,7,2,77.78
1.80-1.90,1.80,1.90,6,3,3,50.00
1.90-2.00,1.90,2.00,5,4,1,80.00
2.00-2.10,2.00,2.10,6,5,1,83.33
2.10-2.20,2.10,2.20,5,3,2,60.00
2.20-2.30,2.20,2.30,4,4,0,100.00
2.30-2.40,2.30,2.40,5,3,2,60.00
2.40-2.50,2.40,2.50,7,4,3,57.14
2.50-2.60,2.50,2.60,2,1,1,50.00
2.60-2.70,2.60,2.70,3,3,0,100.00
2.70-2.80,2.70,2.80,1,1,0,100.00
2.80-2.90,2.80,2.90,2,2,0,100.00
2.90-3.00,2.90,3.00,1,0,1,0.00
3.00-3.10,3.00,3.10,1,1,0,100.00
3.10-3.20,3.10,3.20,2,0,2,0.00
3.30-3.40,3.30,3.40,2,1,1,50.00
3.40-3.50,3.40,3.50,3,2,1,66.67
3.50-3.60,3.50,3.60,1,0,1,0.00
3.70-3.80,3.70,3.80,1,1,0,100.00
3.80-3.90,3.80,3.90,1,1,0,100.00
3.90-4.00,3.90,4.00,1,1,0,100.00
4.00-4.10,4.00,4.10,1,1,0,100.00
4.10-4.20,4.10,4.20,2,1,1,50.00
4.20-4.30,4.20,4.30,2,1,1,50.00
4.30-4.40,4.30,4.40,1,1,0,100.00
4.40-4.50,4.40,4.50,1,1,0,100.00
4.50-4.60,4.50,4.60,2,2,0,100.00
4.80-4.90,4.80,4.90,1,1,0,100.00
4.90-5.00,4.90,5.00,1,0,1,0.00
5.00-5.10,5.00,5.10,1,1,0,100.00
5.20-5.30,5.20,5.30,1,1,0,100.00
5.40-5.50,5.40,5.50,1,0,1,0.00
5.50-5.60,5.50,5.60,1,1,0,100.00
5.60-5.70,5.60,5.70,2,1,1,50.00
5.80-5.90,5.80,5.90,1,0,1,0.00
6.00-6.10,6.00,6.10,1,1,0,100.00
6.20-6.30,6.20,6.30,1,1,0,100.00
6.30-6.40,6.30,6.40,1,1,0,100.00
6.60-6.70,6.60,6.70,1,1,0,100.00
6.70-6.80,6.70,6.80,1,0,1,0.00
7.00-7.10,7.00,7.10,2,2,0,100.00
7.40-7.50,7.40,7.50,1,0,1,0.00
7.50-7.60,7.50,7.60,1,1,0,100.00
7.70-7.80,7.70,7.80,1,1,0,100.00
8.00-8.10,8.00,8.10,1,1,0,100.00
8.70-8.80,8.70,8.80,1,0,1,0.00
9.10-9.20,9.10,9.20,1,1,0,100.00
9.30-9.40,9.30,9.40,1,0,1,0.00
9.50-9.60,9.50,9.60,1,1,0,100.00
9.70-9.80,9.70,9.80,1,1,0,100.00
10.80-10.90,10.80,10.90,1,0,1,0.00
12.00-12.10,12.00,12.10,1,1,0,100.00
12.80-12.90,12.80,12.90,1,1,0,100.00
12.90-13.00,12.90,13.00,2,2,0,100.00
13.20-13.30,13.20,13.30,1,1,0,100.00
14.00-14.10,14.00,14.10,1,1,0,100.00
15.10-15.20,15.10,15.20,2,1,1,50.00
17.10-17.20,17.10,17.20,1,0,1,0.00
17.70-17.80,17.70,17.80,1,1,0,100.00
18.60-18.70,18.60,18.70,1,1,0,100.00
19.60-19.70,19.60,19.70,2,2,0,100.00
21.90-22.00,21.90,22.00,1,0,1,0.00
22.10-22.20,22.10,22.20,1,1,0,100.00
36.20-36.30,36.20,36.30,1,1,0,100.00
46.40-46.50,46.40,46.50,1,0,1,0.00
64.50-64.60,64.50,64.60,1,1,0,100.00
73.70-73.80,73.70,73.80,1,0,1,0.00
177.80-177.90,177.80,177.90,1,0,1,0.00
266.70-266.80,266.70,266.80,1,1,0,100.00
267.70-267.80,267.70,267.80,1,0,1,0.00
