时间,交易数,胜利,失败,胜率%,累计盈亏,平均盈亏
00:00,15,12,3,80.00,40.4396,2.6960
00:15,8,8,0,100.00,69.2340,8.6543
00:30,12,8,4,66.67,41.4441,3.4537
00:45,12,10,2,83.33,53.7076,4.4756
01:00,20,19,1,95.00,120.6540,6.0327
01:15,12,9,3,75.00,39.5165,3.2930
01:30,12,11,1,91.67,89.2660,7.4388
01:45,13,8,5,61.54,24.2030,1.8618
02:00,14,7,7,50.00,10.6755,0.7625
02:15,10,5,5,50.00,-46.7955,-4.6795
02:30,5,2,3,40.00,-4.5124,-0.9025
02:45,9,8,1,88.89,54.8616,6.0957
03:00,14,9,5,64.29,45.3650,3.2404
03:15,12,9,3,75.00,45.8900,3.8242
03:30,12,11,1,91.67,55.9540,4.6628
03:45,9,7,2,77.78,39.0465,4.3385
04:00,14,10,4,71.43,45.5857,3.2561
04:15,11,8,3,72.73,41.3296,3.7572
04:30,12,8,4,66.67,25.2722,2.1060
04:45,12,10,2,83.33,48.1345,4.0112
05:00,12,7,5,58.33,29.6456,2.4705
05:15,8,4,4,50.00,14.1172,1.7647
05:30,13,8,5,61.54,-3.1595,-0.2430
05:45,9,3,6,33.33,-27.5314,-3.0590
06:00,12,8,4,66.67,58.1161,4.8430
06:15,9,4,5,44.44,-28.6340,-3.1816
06:30,12,8,4,66.67,46.9317,3.9110
06:45,12,9,3,75.00,33.6136,2.8011
07:00,13,11,2,84.62,45.9376,3.5337
07:15,11,9,2,81.82,85.0581,7.7326
07:30,8,6,2,75.00,27.1101,3.3888
07:45,7,6,1,85.71,26.7240,3.8177
08:00,18,10,8,55.56,29.3698,1.6317
08:15,14,9,5,64.29,29.2117,2.0865
08:30,8,5,3,62.50,17.5861,2.1983
08:45,12,10,2,83.33,41.2705,3.4392
09:00,7,4,3,57.14,12.9876,1.8554
09:15,10,3,7,30.00,-39.5759,-3.9576
09:30,5,3,2,60.00,12.5260,2.5052
09:45,6,4,2,66.67,3.2000,0.5333
10:00,17,9,8,52.94,24.5552,1.4444
10:15,8,7,1,87.50,34.2220,4.2778
10:30,17,8,9,47.06,-6.3563,-0.3739
10:45,9,3,6,33.33,-5.7578,-0.6398
11:00,12,8,4,66.67,16.6186,1.3849
11:15,8,5,3,62.50,24.1081,3.0135
11:30,8,4,4,50.00,-10.5910,-1.3239
11:45,7,3,4,42.86,-3.1235,-0.4462
12:00,6,5,1,83.33,-3.5780,-0.5963
12:15,9,7,2,77.78,30.9381,3.4376
12:30,9,5,4,55.56,11.0077,1.2231
12:45,4,3,1,75.00,32.9800,8.2450
13:00,7,5,2,71.43,31.4116,4.4874
13:15,6,4,2,66.67,-6.4475,-1.0746
13:30,8,6,2,75.00,-3.1004,-0.3875
13:45,11,7,4,63.64,27.3297,2.4845
14:00,8,6,2,75.00,21.2220,2.6527
14:15,8,4,4,50.00,-11.5454,-1.4432
14:30,10,7,3,70.00,13.9105,1.3911
14:45,5,2,3,40.00,4.8837,0.9767
15:00,5,2,3,40.00,6.4861,1.2972
15:15,7,5,2,71.43,16.3490,2.3356
15:30,9,5,4,55.56,10.3201,1.1467
15:45,2,1,1,50.00,0.8076,0.4038
16:00,13,10,3,76.92,35.6110,2.7393
16:15,13,8,5,61.54,8.5391,0.6569
16:30,8,3,5,37.50,-21.8843,-2.7355
16:45,11,7,4,63.64,-0.2520,-0.0229
17:00,9,6,3,66.67,16.5657,1.8406
17:15,6,4,2,66.67,16.0700,2.6783
17:30,8,6,2,75.00,55.8861,6.9858
17:45,10,8,2,80.00,26.1385,2.6139
18:00,5,4,1,80.00,7.8220,1.5644
18:15,10,7,3,70.00,24.7686,2.4769
18:30,12,6,6,50.00,-2.8545,-0.2379
18:45,9,6,3,66.67,0.8092,0.0899
19:00,9,3,6,33.33,-26.4543,-2.9394
19:15,7,4,3,57.14,-0.2815,-0.0402
19:30,9,8,1,88.89,59.1516,6.5724
19:45,7,6,1,85.71,25.5220,3.6460
20:00,7,5,2,71.43,-5.6300,-0.8043
20:15,6,5,1,83.33,21.5500,3.5917
20:30,10,5,5,50.00,-9.7064,-0.9706
20:45,9,6,3,66.67,19.9580,2.2176
21:00,10,6,4,60.00,12.0792,1.2079
21:15,9,7,2,77.78,45.4885,5.0543
21:30,14,10,4,71.43,51.5988,3.6856
21:45,10,6,4,60.00,31.5845,3.1585
22:00,23,18,5,78.26,132.7400,5.7713
22:15,16,9,7,56.25,44.4062,2.7754
22:30,13,7,6,53.85,32.8762,2.5289
22:45,10,6,4,60.00,-13.8360,-1.3836
23:00,16,10,6,62.50,50.1416,3.1338
23:15,11,7,4,63.64,10.6292,0.9663
23:30,15,12,3,80.00,45.9820,3.0655
23:45,11,7,4,63.64,30.3365,2.7579
