小时,交易数,胜利,失败,胜率%,累计盈亏,平均盈亏,做多,做空
00:00,47,38,9,80.85,204.8253,4.3580,24,23
01:00,57,47,10,82.46,273.6395,4.8007,34,23
02:00,38,22,16,57.89,14.2292,0.3745,16,22
03:00,47,36,11,76.60,186.2555,3.9629,23,24
04:00,49,36,13,73.47,160.3220,3.2719,31,18
05:00,42,22,20,52.38,13.0719,0.3112,27,15
06:00,45,29,16,64.44,110.0274,2.4451,28,17
07:00,39,32,7,82.05,184.8298,4.7392,22,17
08:00,52,34,18,65.38,117.4381,2.2584,25,27
09:00,28,14,14,50.00,-10.8623,-0.3879,16,12
10:00,51,27,24,52.94,46.6631,0.9150,33,18
11:00,35,20,15,57.14,27.0122,0.7718,21,14
12:00,28,20,8,71.43,71.3478,2.5481,18,10
13:00,32,22,10,68.75,49.1934,1.5373,20,12
14:00,31,19,12,61.29,28.4708,0.9184,16,15
15:00,23,13,10,56.52,33.9628,1.4766,13,10
16:00,45,28,17,62.22,22.0138,0.4892,25,20
17:00,33,24,9,72.73,114.6603,3.4746,19,14
18:00,36,23,13,63.89,30.5453,0.8485,21,15
19:00,32,21,11,65.62,57.9378,1.8106,21,11
20:00,32,21,11,65.62,26.1716,0.8179,23,9
21:00,43,29,14,67.44,140.7510,3.2733,28,15
22:00,62,40,22,64.52,196.1864,3.1643,37,25
23:00,53,36,17,67.92,137.0893,2.5866,22,31
